2026-07-19T19:37:52-05:00
Running ./build/ejecutable_experimentos
Run on (12 X 4400 MHz CPU s)
CPU Caches:
  L1 Data 48 KiB (x6)
  L1 Instruction 32 KiB (x6)
  L2 Unified 1280 KiB (x6)
  L3 Unified 12288 KiB (x1)
Load Average: 1.00, 1.28, 1.17
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
***WARNING*** Library was built as DEBUG. Timings may be affected.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"Comparaciones","Intercambios","RAM_Auxiliar_KB"
"BM_BubbleSort/1000/3/repeats:30",200,3.31653e+06,3.31095e+06,ns,,,,,,499500,60944,0
"BM_BubbleSort/1000/3/repeats:30",200,3.41585e+06,3.40748e+06,ns,,,,,,499500,62026,0
"BM_BubbleSort/1000/3/repeats:30",200,3.35389e+06,3.34819e+06,ns,,,,,,499500,59884,0
"BM_BubbleSort/1000/3/repeats:30",200,3.36072e+06,3.355e+06,ns,,,,,,499500,58170,0
"BM_BubbleSort/1000/3/repeats:30",200,3.42719e+06,3.41944e+06,ns,,,,,,499500,66434,0
"BM_BubbleSort/1000/3/repeats:30",200,3.37655e+06,3.36886e+06,ns,,,,,,499500,65374,0
"BM_BubbleSort/1000/3/repeats:30",200,3.4126e+06,3.40595e+06,ns,,,,,,499500,65766,0
"BM_BubbleSort/1000/3/repeats:30",200,3.34142e+06,3.33546e+06,ns,,,,,,499500,60264,0
"BM_BubbleSort/1000/3/repeats:30",200,3.57797e+06,3.56205e+06,ns,,,,,,499500,64560,0
"BM_BubbleSort/1000/3/repeats:30",200,3.40673e+06,3.3996e+06,ns,,,,,,499500,58454,0
"BM_BubbleSort/1000/3/repeats:30",200,3.42173e+06,3.41236e+06,ns,,,,,,499500,61516,0
"BM_BubbleSort/1000/3/repeats:30",200,3.42107e+06,3.4126e+06,ns,,,,,,499500,56904,0
"BM_BubbleSort/1000/3/repeats:30",200,3.40433e+06,3.3964e+06,ns,,,,,,499500,66492,0
"BM_BubbleSort/1000/3/repeats:30",200,3.34493e+06,3.33911e+06,ns,,,,,,499500,65552,0
"BM_BubbleSort/1000/3/repeats:30",200,3.31258e+06,3.30772e+06,ns,,,,,,499500,72864,0
